Data;28763 - Estoque de empregos formais - Total - Unidades;28764 - Estoque de empregos formais - Agropecuária - Unidades;28765 - Estoque de empregos formais - Indústrias extrativas - Unidades;28766 - Estoque de empregos formais - Indústrias de transformação - Unidades;28767 - Estoque de empregos formais - SIUP - Unidades;28768 - Estoque de empregos formais - Eletricidade e gás - Unidades;28769 - Estoque de empregos formais - Água, esgoto, atividades de gestão de resíduos e descontaminação - Unidades;28770 - Estoque de empregos formais - Construção - Unidades;28771 - Estoque de empregos formais - Comércio - Unidades;28772 - Estoque de empregos formais - Serviços - Unidades;28773 - Estoque de empregos formais - Transporte, armazenamento e correio - Unidades;28774 - Estoque de empregos formais - Alojamento e alimentação - Unidades;28775 - Estoque de empregos formais - Informação e comunicação - Unidades;28776 - Estoque de empregos formais - Atividades financeiras e seguros - Unidades
01/2014;39419825;1461198;250947;7830190;465594;118406;347188;2995227;8803123;17613539;2472121;1835885;856087;801911
02/2014;39721219;1468288;251737;7882402;467829;118434;349395;3029404;8832085;17789467;2486973;1849421;860566;803609
03/2014;39756324;1464129;251880;7889434;468195;118413;349782;3029834;8810419;17842426;2499118;1842001;863315;805191
04/2014;39889039;1480501;252604;7885951;469441;118437;351004;3038440;8835049;17927046;2520591;1848904;867778;806256
05/2014;39975711;1528584;252678;7857453;469903;118478;351425;3044074;8840507;17982505;2525584;1852948;872369;807193
06/2014;40026284;1571639;252652;7830899;470004;118775;351229;3034459;8839150;18027474;2527981;1857468;873114;809315
07/2014;40057467;1584744;252749;7818427;470720;118896;351824;3040554;8844787;18045479;2535182;1855527;874124;810699
08/2014;40188371;1577568;253132;7815769;471008;118992;352016;3047807;8895553;18127527;2538851;1865773;879537;812924
09/2014;40357197;1572295;252764;7844772;471563;119120;352443;3063061;8944826;18207909;2545668;1876811;887036;814881
10/2014;40340165;1553409;252251;7836457;471382;119177;352205;3028393;8983020;18215246;2547996;1883139;879763;815769
11/2014;40359513;1520152;251355;7793548;471211;119288;351923;2977452;9094941;18250847;2549031;1899002;885543;816549
12/2014;39777277;1453720;248175;7623183;469431;118801;350630;2831795;9078400;18072566;2526054;1895641;883463;815074
01/2015;39715452;1464015;246383;7652785;469473;118971;350502;2827583;8985115;18070091;2515020;1891031;884356;817000
02/2015;39728625;1455518;244711;7654674;469047;119343;349704;2799551;8958722;18146395;2516118;1889648;884494;817265
03/2015;39764690;1450903;242816;7641365;469726;119859;349867;2779120;8966284;18214469;2524879;1890428;885128;818628
04/2015;39679909;1462026;241664;7589024;469770;120614;349156;2752879;8949002;18215537;2530853;1887129;885226;819376
05/2015;39570545;1494795;240654;7528557;469833;121305;348528;2719439;8933221;18184039;2526782;1883429;882427;820520
06/2015;39471683;1541809;239392;7466008;467949;121944;346005;2694008;8910318;18152192;2517454;1884016;878963;822050
07/2015;39322326;1568745;238390;7405026;466593;122481;344112;2671192;8878154;18094219;2503021;1877196;877387;820102
08/2015;39245006;1565890;237158;7357945;465360;123019;342341;2644813;8868643;18105190;2499928;1875654;874202;821209
09/2015;39157251;1564174;236266;7349401;464358;123427;340931;2615352;8854736;18072957;2492262;1874540;867776;820827
10/2015;38990583;1546085;234458;7302899;462994;123809;339185;2562249;8852352;18029539;2485726;1870218;864762;820408
11/2015;38856681;1523326;232383;7224767;461481;124163;337318;2499623;8907316;18007778;2479834;1874614;867194;819009
12/2015;38242288;1462080;229749;7035587;458999;123473;335526;2385794;8864694;17805378;2445975;1868550;861364;816321
01/2016;38150015;1471043;227586;7019667;458184;123490;334694;2385795;8797443;17790290;2428739;1867463;861344;817387
02/2016;38053681;1468794;226325;6991635;457403;123588;333815;2366437;8741565;17801515;2420056;1858591;856917;816899
03/2016;37939159;1459006;224524;6967573;457320;123305;334015;2340416;8700029;17790284;2417777;1847802;853848;816229
04/2016;37883337;1467600;223693;6950981;457257;122966;334291;2324854;8670816;17788129;2417855;1839358;852313;814933
05/2016;37816951;1513592;221794;6930648;456801;122647;334154;2294430;8642569;17757110;2413589;1830501;847842;814049
06/2016;37729231;1554290;220373;6900576;455440;122254;333186;2264079;8616318;17718148;2405120;1825976;845800;813623
07/2016;37644991;1559425;219104;6886994;455056;122433;332623;2234260;8601148;17688997;2400793;1822605;845692;813122
08/2016;37622905;1545403;219241;6896104;454226;122738;331488;2211071;8605139;17691714;2393414;1820663;845056;812174
